season,game,match,team1,team2,winner,result1
11,0,0,Circle-Of-Two,SCUM.,Circle-Of-Two,1
11,1,0,Of Sound Mind,YOUR VOTES DON'T COUNT,YOUR VOTES DON'T COUNT,0
11,2,0,Curatores Veritatis Alliance,R.E.V.O.L.U.T.I.O.N,Curatores Veritatis Alliance,1
11,3,0,THE R0NIN,CAStabouts,THE R0NIN,1
11,4,0,Goonswarm Federation,Sleeper Social Club,Sleeper Social Club,0
11,5,0,Verge of Collapse,Outbreak.,Verge of Collapse,1
11,6,0,Wormhole Holders,Rote Kapelle,Rote Kapelle,0
11,7,0,Perihelion Alliance,The Fourth District,The Fourth District,0
11,8,0,D3vil's Childr3n,Late Night Alliance,Late Night Alliance,0
11,9,0,Clockwork Pineapple,Rainbow Dash Friends,Clockwork Pineapple,1
11,10,0,RAZOR Alliance,Babylon 5..,RAZOR Alliance,1
11,11,0,Sicarius Draconis,Test Alliance Please Ignore,Test Alliance Please Ignore,0
11,12,0,Moist.,Transmission Lost,Transmission Lost,0
11,13,0,Surely You're Joking,Nulli Secunda,Nulli Secunda,0
11,14,0,Exiled Ones,Choke Point,Exiled Ones,1
11,15,0,JIHADASQUAD,Exodus.,Exodus.,0
11,16,0,Noir. Mercenary Group,Shadow Cartel,Shadow Cartel,0
11,17,0,HUN Reloaded,DarkSide.,DarkSide.,0
11,18,0,Darkness of Despair,Quebec United Legions,Darkness of Despair,1
11,19,0,M.I.F,Angeli Mortis,M.I.F,1
11,20,0,Kill It With Fire,Ministry of Inappropriate Footwork,Ministry of Inappropriate Footwork,0
11,21,0,The G0dfathers,Urine Alliance,The G0dfathers,1
11,22,0,SOLAR FLEET,HYDRA RELOADED,HYDRA RELOADED,0
11,23,0,End of Life,Darkspawn.,End of Life,1
11,24,0,Heretic Initiative,No Holes Barred,No Holes Barred,0
11,25,0,WHY so Seri0Us,Red vs Blue,Red vs Blue,0
11,26,0,W-Space,Mildly Sober,W-Space,1
11,27,0,The Obsidian Front,The Initiative.,The Initiative.,0
11,28,0,Confederation of xXPIZZAXx,Dead Terrorists,Confederation of xXPIZZAXx,1
11,29,0,Sadistica Alliance,Agony Empire,Agony Empire,0
11,30,0,Pandemic Legion,Synthetic Systems,Pandemic Legion,1
11,31,0,The Kadeshi,Drunk 'n' Disorderly,Drunk 'n' Disorderly,0
11,32,0,Circle-Of-Two,YOUR VOTES DON'T COUNT,YOUR VOTES DON'T COUNT,0
11,33,0,Curatores Veritatis Alliance,THE R0NIN,THE R0NIN,0
11,34,0,Sleeper Social Club,Verge of Collapse,Verge of Collapse,0
11,35,0,Rote Kapelle,The Fourth District,Rote Kapelle,1
11,36,0,Late Night Alliance,Clockwork Pineapple,Late Night Alliance,1
11,37,0,RAZOR Alliance,Test Alliance Please Ignore,Test Alliance Please Ignore,0
11,38,0,Transmission Lost,Nulli Secunda,Transmission Lost,1
11,39,0,Exiled Ones,Exodus.,Exodus.,0
11,40,0,Shadow Cartel,DarkSide.,DarkSide.,0
11,41,0,Darkness of Despair,M.I.F,Darkness of Despair,1
11,42,0,Ministry of Inappropriate Footwork,The G0dfathers,Ministry of Inappropriate Footwork,1
11,43,0,HYDRA RELOADED,End of Life,HYDRA RELOADED,1
11,44,0,No Holes Barred,Red vs Blue,Red vs Blue,0
11,45,0,W-Space,The Initiative.,The Initiative.,0
11,46,0,Confederation of xXPIZZAXx,Agony Empire,Agony Empire,0
11,47,0,Pandemic Legion,Drunk 'n' Disorderly,Pandemic Legion,1
11,48,0,SCUM.,Of Sound Mind,SCUM.,1
11,49,0,R.E.V.O.L.U.T.I.O.N,CAStabouts,R.E.V.O.L.U.T.I.O.N,1
11,50,0,Goonswarm Federation,Outbreak.,Outbreak.,0
11,51,0,Wormhole Holders,Perihelion Alliance,Perihelion Alliance,0
11,52,0,D3vil's Childr3n,Rainbow Dash Friends,Rainbow Dash Friends,0
11,53,0,Babylon 5..,Sicarius Draconis,Sicarius Draconis,0
11,54,0,Moist.,Surely You're Joking,Surely You're Joking,0
11,55,0,Choke Point,JIHADASQUAD,Choke Point,1
11,56,0,Noir. Mercenary Group,HUN Reloaded,HUN Reloaded,0
11,57,0,Quebec United Legions,Angeli Mortis,Angeli Mortis,0
11,58,0,Kill It With Fire,Urine Alliance,Urine Alliance,0
11,59,0,SOLAR FLEET,Darkspawn.,SOLAR FLEET,1
11,60,0,Heretic Initiative,WHY so Seri0Us,Heretic Initiative,1
11,61,0,Mildly Sober,The Obsidian Front,The Obsidian Front,0
11,62,0,Dead Terrorists,Sadistica Alliance,Sadistica Alliance,0
11,63,0,Synthetic Systems,The Kadeshi,The Kadeshi,0
11,64,0,SCUM.,Sleeper Social Club,SCUM.,1
11,65,0,R.E.V.O.L.U.T.I.O.N,The Fourth District,R.E.V.O.L.U.T.I.O.N,1
11,66,0,Outbreak.,Circle-Of-Two,Circle-Of-Two,0
11,67,0,Perihelion Alliance,Curatores Veritatis Alliance,Curatores Veritatis Alliance,0
11,68,0,Rainbow Dash Friends,Nulli Secunda,Nulli Secunda,0
11,69,0,Sicarius Draconis,Exiled Ones,Exiled Ones,0
11,70,0,Surely You're Joking,Clockwork Pineapple,Clockwork Pineapple,0
11,71,0,Choke Point,RAZOR Alliance,Choke Point,1
11,72,0,HUN Reloaded,The G0dfathers,HUN Reloaded,1
11,73,0,Angeli Mortis,End of Life,End of Life,0
11,74,0,Urine Alliance,Shadow Cartel,Shadow Cartel,0
11,75,0,SOLAR FLEET,M.I.F,M.I.F,0
11,76,0,Heretic Initiative,Confederation of xXPIZZAXx,Confederation of xXPIZZAXx,0
11,77,0,The Obsidian Front,Drunk 'n' Disorderly,The Obsidian Front,1
11,78,0,Sadistica Alliance,No Holes Barred,Sadistica Alliance,1
11,79,0,The Kadeshi,W-Space,The Kadeshi,1
11,80,0,YOUR VOTES DON'T COUNT,THE R0NIN,THE R0NIN,0
11,81,0,Verge of Collapse,Rote Kapelle,Rote Kapelle,0
11,82,0,Late Night Alliance,Test Alliance Please Ignore,Late Night Alliance,1
11,83,0,Transmission Lost,Exodus.,Exodus.,0
11,84,0,DarkSide.,Darkness of Despair,DarkSide.,1
11,85,0,Ministry of Inappropriate Footwork,HYDRA RELOADED,HYDRA RELOADED,0
11,86,0,Red vs Blue,The Initiative.,The Initiative.,0
11,87,0,Agony Empire,Pandemic Legion,Pandemic Legion,0
11,88,0,SCUM.,R.E.V.O.L.U.T.I.O.N,SCUM.,1
11,89,0,Circle-Of-Two,Curatores Veritatis Alliance,Curatores Veritatis Alliance,0
11,90,0,Nulli Secunda,Exiled Ones,Nulli Secunda,1
11,91,0,Clockwork Pineapple,Choke Point,Clockwork Pineapple,1
11,92,0,HUN Reloaded,End of Life,HUN Reloaded,1
11,93,0,Shadow Cartel,M.I.F,M.I.F,0
11,94,0,Confederation of xXPIZZAXx,The Obsidian Front,The Obsidian Front,0
11,95,0,Sadistica Alliance,The Kadeshi,Sadistica Alliance,1
11,96,0,SCUM.,Test Alliance Please Ignore,SCUM.,1
11,97,0,Curatores Veritatis Alliance,Transmission Lost,Curatores Veritatis Alliance,1
11,98,0,Nulli Secunda,YOUR VOTES DON'T COUNT,YOUR VOTES DON'T COUNT,0
11,99,0,Clockwork Pineapple,Verge of Collapse,Verge of Collapse,0
11,100,0,HUN Reloaded,Red vs Blue,HUN Reloaded,1
11,101,0,M.I.F,Agony Empire,Agony Empire,0
11,102,0,The Obsidian Front,Darkness of Despair,Darkness of Despair,0
11,103,0,Sadistica Alliance,Ministry of Inappropriate Footwork,Ministry of Inappropriate Footwork,0
11,104,0,THE R0NIN,Rote Kapelle,THE R0NIN,1
11,105,0,Late Night Alliance,Exodus.,Exodus.,0
11,106,0,DarkSide.,HYDRA RELOADED,HYDRA RELOADED,0
11,107,0,The Initiative.,Pandemic Legion,Pandemic Legion,0
11,108,0,SCUM.,Curatores Veritatis Alliance,Curatores Veritatis Alliance,0
11,109,0,YOUR VOTES DON'T COUNT,Verge of Collapse,Verge of Collapse,0
11,110,0,HUN Reloaded,Agony Empire,Agony Empire,0
11,111,0,Darkness of Despair,Ministry of Inappropriate Footwork,Ministry of Inappropriate Footwork,0
11,112,0,Curatores Veritatis Alliance,DarkSide.,DarkSide.,0
11,113,0,Verge of Collapse,The Initiative.,Verge of Collapse,1
11,114,0,Agony Empire,Rote Kapelle,Agony Empire,1
11,115,0,Ministry of Inappropriate Footwork,Late Night Alliance,Ministry of Inappropriate Footwork,1
11,116,0,THE R0NIN,Exodus.,Exodus.,0
11,116,1,THE R0NIN,Exodus.,THE R0NIN,1
11,116,2,THE R0NIN,Exodus.,Exodus.,0
11,117,0,HYDRA RELOADED,Pandemic Legion,HYDRA RELOADED,1
11,117,1,HYDRA RELOADED,Pandemic Legion,Pandemic Legion,0
11,117,2,HYDRA RELOADED,Pandemic Legion,HYDRA RELOADED,1
11,118,0,DarkSide.,Verge of Collapse,DarkSide.,1
11,119,0,Agony Empire,Ministry of Inappropriate Footwork,Agony Empire,1
11,120,0,DarkSide.,THE R0NIN,THE R0NIN,0
11,121,0,Agony Empire,Pandemic Legion,Pandemic Legion,0
11,122,0,Exodus.,HYDRA RELOADED,HYDRA RELOADED,0
11,122,1,Exodus.,HYDRA RELOADED,HYDRA RELOADED,0
11,123,0,THE R0NIN,Pandemic Legion,Pandemic Legion,0
11,123,1,THE R0NIN,Pandemic Legion,Pandemic Legion,0
11,124,0,Pandemic Legion,Exodus.,Pandemic Legion,1
11,124,1,Pandemic Legion,Exodus.,Exodus.,0
11,124,2,Pandemic Legion,Exodus.,Pandemic Legion,1
11,125,0,HYDRA RELOADED,Pandemic Legion,HYDRA RELOADED,1
11,125,1,HYDRA RELOADED,Pandemic Legion,Pandemic Legion,0
11,125,2,HYDRA RELOADED,Pandemic Legion,Pandemic Legion,0
11,125,3,HYDRA RELOADED,Pandemic Legion,Pandemic Legion,0
12,0,0,Clockwork Pineapple,RAZOR Alliance,Clockwork Pineapple,1
12,1,0,Ineluctable.,Exodus.,Exodus.,0
12,2,0,Affirmative.,Pasta Syndicate,Pasta Syndicate,0
12,3,0,Choke Point,Quebec United Legions,Quebec United Legions,0
12,4,0,The Tuskers Co.,Cynosural Field Theory.,The Tuskers Co.,1
12,5,0,CAStabouts,The Initiative.,The Initiative.,0
12,6,0,The Unthinkables,Feign Disorder,Feign Disorder,0
12,7,0,SOLAR FLEET,The Devil's Warrior Alliance,SOLAR FLEET,1
12,8,0,THE R0NIN,Dead Terrorists,THE R0NIN,1
12,9,0,Moist.,Easily Excited,Easily Excited,0
12,10,0,Ushra'Khan,Test Alliance Please Ignore,Test Alliance Please Ignore,0
12,11,0,Tactical Narcotics Team,A Nest of Vipers,Tactical Narcotics Team,1
12,12,0,LowSechnaya Sholupen,The Camel Empire,The Camel Empire,0
12,13,0,The Kadeshi,The Fourth District,The Fourth District,0
12,14,0,Disavowed.,M.I.F,M.I.F,0
12,15,0,HUN Reloaded,Sleeper Social Club,Sleeper Social Club,0
12,16,0,The Fearless Empire,Rote Kapelle,Rote Kapelle,0
12,17,0,Noir. Mercenary Group,SCUM.,SCUM.,0
12,18,0,WAFFLES.,Ministry of Inappropriate Footwork,Ministry of Inappropriate Footwork,0
12,19,0,Mortuus.,C0VEN,C0VEN,0
12,20,0,The G0dfathers,Shadow Cartel,Shadow Cartel,0
12,21,0,The Afterlife.,Pandemic Legion,Pandemic Legion,0
12,22,0,The Methodical Alliance,End of Life,The Methodical Alliance,1
12,23,0,The Gorgon Empire,The Nameless Alliance,The Gorgon Empire,1
12,24,0,Agony Empire,Circle-Of-Two,Agony Empire,1
12,25,0,Red vs Blue,CODE.,Red vs Blue,1
12,26,0,Fidelas Constans,Nulli Secunda,Nulli Secunda,0
12,27,0,Surely You're Joking,Almost Awesome.,Surely You're Joking,1
12,28,0,Curatores Veritatis Alliance,Red Alliance,Curatores Veritatis Alliance,1
12,29,0,Outbreak.,Monkeys with Guns.,Outbreak.,1
12,30,0,HYDRA RELOADED,Triumvirate.,HYDRA RELOADED,1
12,31,0,No Holes Barred,R.E.V.O.L.U.T.I.O.N,No Holes Barred,1
12,32,0,Clockwork Pineapple,Exodus.,Exodus.,0
12,33,0,Pasta Syndicate,Quebec United Legions,Pasta Syndicate,1
12,34,0,The Tuskers Co.,The Initiative.,The Tuskers Co.,1
12,35,0,Feign Disorder,SOLAR FLEET,Feign Disorder,1
12,36,0,THE R0NIN,Easily Excited,THE R0NIN,1
12,37,0,Test Alliance Please Ignore,Tactical Narcotics Team,Tactical Narcotics Team,0
12,38,0,The Camel Empire,The Fourth District,The Camel Empire,1
12,39,0,M.I.F,Sleeper Social Club,M.I.F,1
12,40,0,Rote Kapelle,SCUM.,Rote Kapelle,1
12,41,0,Ministry of Inappropriate Footwork,C0VEN,Ministry of Inappropriate Footwork,1
12,42,0,Shadow Cartel,Pandemic Legion,Pandemic Legion,0
12,43,0,The Methodical Alliance,The Gorgon Empire,The Gorgon Empire,0
12,44,0,Agony Empire,Red vs Blue,Red vs Blue,0
12,45,0,Nulli Secunda,Surely You're Joking,Nulli Secunda,1
12,46,0,Curatores Veritatis Alliance,Outbreak.,Curatores Veritatis Alliance,1
12,47,0,HYDRA RELOADED,No Holes Barred,HYDRA RELOADED,1
12,48,0,RAZOR Alliance,Ineluctable.,RAZOR Alliance,1
12,49,0,Affirmative.,Choke Point,Choke Point,0
12,50,0,Cynosural Field Theory.,CAStabouts,CAStabouts,0
12,51,0,The Unthinkables,The Devil's Warrior Alliance,The Devil's Warrior Alliance,0
12,52,0,Dead Terrorists,Moist.,Dead Terrorists,1
12,53,0,Ushra'Khan,A Nest of Vipers,A Nest of Vipers,0
12,54,0,LowSechnaya Sholupen,The Kadeshi,LowSechnaya Sholupen,1
12,55,0,Disavowed.,HUN Reloaded,HUN Reloaded,0
12,56,0,The Fearless Empire,Noir. Mercenary Group,The Fearless Empire,1
12,57,0,WAFFLES.,Mortuus.,WAFFLES.,1
12,58,0,The G0dfathers,The Afterlife.,The Afterlife.,0
12,59,0,End of Life,The Nameless Alliance,End of Life,1
12,60,0,Circle-Of-Two,CODE.,Circle-Of-Two,1
12,61,0,Fidelas Constans,Almost Awesome.,Almost Awesome.,0
12,62,0,Red Alliance,Monkeys with Guns.,Monkeys with Guns.,0
12,63,0,Triumvirate.,R.E.V.O.L.U.T.I.O.N,Triumvirate.,1
12,64,0,RAZOR Alliance,The Initiative.,RAZOR Alliance,1
12,65,0,Choke Point,SOLAR FLEET,SOLAR FLEET,0
12,66,0,CAStabouts,Clockwork Pineapple,CAStabouts,1
12,67,0,The Devil's Warrior Alliance,Quebec United Legions,The Devil's Warrior Alliance,1
12,68,0,Dead Terrorists,The Fourth District,The Fourth District,0
12,69,0,A Nest of Vipers,Sleeper Social Club,Sleeper Social Club,0
12,70,0,LowSechnaya Sholupen,Easily Excited,Easily Excited,0
12,71,0,HUN Reloaded,Test Alliance Please Ignore,Test Alliance Please Ignore,0
